71nl 1ds 200gp 10sm	תקינו ליה רבנן
44nl 1ds 510gp 10sm	ומחוי רב יהודה כמנגדאנא٠
54nl 1ds 510gp 10sm	מאי לאו אפלגיה "דמזבח" כדאמרי
64nl 1ds 510gp 10sm	אינשי٠ טהר טיהרא הוה פלגיה דיומא٠
10nl 2ds 510gp 10sm	אגופיה "דמזבח"٠
20nl 2ds 510gp 10sm	ומאי שנא דיהיב "דעלה" והדר
30nl 2ds 510gp 10sm	יהיב "חטאת"٠ ניתין ברישא "דחטאת" והדר
40nl 2ds 510gp 10sm	ניתין "דעלה"٠ כיון "דעלה" היא היא קדמא
50nl 2ds 510gp 10sm	ברישא٠
41nl 2ds 510gp 10sm	בההיא פגע ברישא٠ וממאי "דבעולה" הוא דאמ׳
51nl 2ds 510gp 10sm	רחמנא٠ עיביד בה "מעשה חטאת"
71nl 2ds 510gp 10sm	לא סלק׳ דעת׳٠
81nl 2ds 510gp 10sm	כי קאמ׳ רחמנא٠ מילי "דחטאת"
91nl 2ds 510gp 10sm	שדי "אעלה"٠
62nl 2ds 510gp 10sm	ורמינהי
02nl 1ds 610gp 10sm	הכי נמי מסתברא דר׳ אליעזר
12nl 1ds 610gp 10sm	בן יעקב היא٠ דתנן ٠٠٠
03nl 1ds 610gp 10sm	אי ^אמרת^ בשלמא٠ ר׳ אליעזר בן יעקב
13nl 1ds 610gp 10sm	היא٠ הינו דאיכסי ליה פיתחא٠ אלא אי אמרת٠ רבנן٠ האיכא פלגא דאמתא
23nl 1ds 610gp 10sm	דמיחזי ליה פיתחא٠ אלא לאו שמע מינה ٠٠٠
33nl 1ds 610gp 10sm	הא מני٠
30nl 2ds 610gp 10sm	ואי סלקא דעת׳ "מדות"
40nl 2ds 610gp 10sm	רבי יהודה היא٠ "מזבח באמצע העזרה" מי משכחת
50nl 2ds 610gp 10sm	לה٠
81nl 2ds 610gp 10sm	ואי סלקא דעת׳٠
91nl 2ds 610gp 10sm	מי משכחת לה٠ רוביה "דמזבח בדרום" קאי٠
20nl 1ds 710gp 10sm	הא "לשכה"
30nl 1ds 710gp 10sm	אקצויי מקציא٠ קאי "בצפון"
40nl 1ds 710gp 10sm	מיחזיא "בדרום"٠ קאי "בדרום" מיחזיא "בצפון"٠
50nl 1ds 710gp 10sm	ומסתברא "במערבית דרומית"
60nl 1ds 710gp 10sm	הות קימא٠ מדרמינן ٠٠٠
70nl 1ds 710gp 10sm	ומשנינן ٠٠٠ מר
80nl 1ds 710gp 10sm	קא חשיב "דרך ימין"٠ ומר קא חשיב "דרך שמאל"٠
10nl 2ds 710gp 10sm	אי אמרת בשלמא "במערבית דרומית" הוה קימא٠
20nl 2ds 710gp 10sm	הינו דמיתריץ "לחם הפנים"٠
30nl 2ds 710gp 10sm	סוף סוף
40nl 2ds 710gp 10sm	מאי תרצתיה "דלחם הפנים"٠ אלא לאו
50nl 2ds 710gp 10sm	שמע מינה٠ "במערבית דרומית" הוה קימא٠ שמע
60nl 2ds 710gp 10sm	מינה٠
80nl 2ds 710gp 10sm	הכא חושבנא בעלמא הוא٠
71nl 2ds 710gp 10sm	הא גופה קשיא٠ אמרת
81nl 2ds 710gp 10sm	אלמא רבי היא
91nl 2ds 710gp 10sm	דאמ׳٠ פלגא שקיל٠ אימא מציעתא
02nl 2ds 710gp 10sm	מני٠ רבנן היא٠
12nl 2ds 710gp 10sm	דאמרי٠ לא שקיל פלגא٠ אימא סופה٠ ר׳ "או׳" "לעולם חמש"٠
22nl 2ds 710gp 10sm	רישא וסופה רבי٠ ומציעתא רבנן٠
32nl 2ds 710gp 10sm	ומודו רבנן "דפרוסה"
42nl 2ds 710gp 10sm	לאו אורח ארעא למיתב ליה "לכהן גדול"٠
30nl 1ds 810gp 10sm	"משתים עשרה" בעי מיפלג٠ בציר
40nl 1ds 810gp 10sm	מפלגא שקיל חמש٠
60nl 1ds 810gp 10sm	מכמה בעי מיפלג٠ מעשר٠ בציר חדא
70nl 1ds 810gp 10sm	ארבעי בעי משקל٠ כולה רבי
80nl 1ds 810gp 10sm	היא٠ וסבר לה כר׳ יהודה٠ {{ה}}^ו^אלא אמאי ארבע٠
90nl 1ds 810gp 10sm	חמש בעי משקל٠ הא דאיכא "משמיר מתעכב"٠ הא דליכא "משמיר מעכב"
01nl 1ds 810gp 10sm	איכא "משמיר מתעכב משמנה" הוא דבעי מיפלג٠ שקיל ארבעי٠
11nl 1ds 810gp 10sm	ליכא "משמיר מתעכב מעשר" בעי מיפלג "שהיא חמש"٠
81nl 1ds 810gp 10sm	מי מוקמינן כי האי גונא٠
22nl 1ds 810gp 10sm	תרקבא דדינרי עיילא ליה מרתא בת ביתוס לינאי
32nl 1ds 810gp 10sm	מלכא עד דמנייה ליהושע בן גמלא בכהני רברבי٠
42nl 1ds 810gp 10sm	ותנא די׳ מאי טעמא לא תני "שעורים"٠ כיון
52nl 1ds 810gp 10sm	דעל "חטא" הוא דאתי חלשא דעתיה٠ אי הכי "פר" נמי על "חטא" הוא דאתי
62nl 1ds 810gp 10sm	כיון דעליה ועל "אחיו הכהנים" הוא דאתי٠ אי איכא
72nl 1ds 810gp 10sm	דאית ביה מילתא ידע ביה ומהדר ליה "בתשובה"٠ בכולהו "ישראל" לא
82nl 1ds 810gp 10sm	ידע٠ הינו דאמרי אינשי٠ בר אחתך דיאלא ניהוי קמיה בשוקי
92nl 1ds 810gp 10sm	חזי חלפת٠
93nl 1ds 810gp 10sm	לאיתויי מאי٠ לאיתויי הא
04nl 1ds 810gp 10sm	דתנו רבנן٠
70nl 2ds 810gp 10sm	בגרגירא מיצראה٠ בסורא מתנו הכי٠ בפומבדיתא מתנו٠
90nl 2ds 810gp 10sm	רב כי הוה מיקלע לדרשיש אמ׳٠
01nl 2ds 810gp 10sm	מאן הויא ליומי٠ רב נחמן כי הוה מיקלע לשכנציב
11nl 2ds 810gp 10sm	אמ׳٠ מאן הויא ליומי٠
91nl 2ds 810gp 10sm	רבנן שליחי הוו משדרי ומודעי להי٠
71nl 2ds 810gp 10sm	שני רבנן דאית להו קלא٠
03nl 1ds 910gp 10sm	מאי טעמא٠ קאי מצפרא טביל٠ אזיל "לצפון"
13nl 1ds 910gp 10sm	גמיר "חפינה" בהדי דאתי עביד "עבודה"٠ לאורתא טביל
23nl 1ds 910gp 10sm	וגני٠ דאי סלקא דעתא "לשכת פרהדרין בצפון"
33nl 1ds 910gp 10sm	קאי מצפרא٠ אתי "מצפון לדרום" וגמר "חפינה"٠ הדר אתי
43nl 1ds 910gp 10sm	עביד "עבודה"٠ אזיל "לדרום" טביל ואתי "לצפון" גני٠
53nl 1ds 910gp 10sm	מטרחינן ליה
63nl 1ds 910gp 10sm	כלי האי٠ אלמא לא אטרחוה٠ דאי צדוקי הוא ניפרוש٠ אינמי
73nl 1ds 910gp 10sm	"שלא תזוח דעתו עליו"٠ דאי לא תימא הכי٠ נעביד תרויהו כהדדי
83nl 1ds 910gp 10sm	או תסגי ליה בחדא٠ נימא תיהוי
93nl 1ds 910gp 10sm	תיובתיה דרב הונא בריה דרב
04nl 1ds 910gp 10sm	יהושע٠ דאמ׳٠ הני כהני שליחי דרחמנא נינהו٠
20nl 2ds 910gp 10sm	מי קא אמרי ליה٠
32nl 2ds 910gp 10sm	מתני ליה רב חנן בר רבא
52nl 2ds 910gp 10sm	ומחוי ליה רב בבי٠ ונימא
62nl 2ds 910gp 10sm	ליה מימר٠ "קרית שמע" הוה קרי٠ איהכי מי
72nl 2ds 910gp 10sm	שרי٠
24nl 2ds 910gp 10sm	"מאי אצבע צרדה"٠ מחוי רב
34nl 2ds 910gp 10sm	יהודה٠ צרתה דדא٠ ומאי איהי٠ "גודל"٠ מחוי רב הונא ואזיל קליה בכוליה בי רב٠
44nl 2ds 910gp 10sm	עוד חדת על חדת٠
54nl 2ds 910gp 10sm	ומאי איהי٠ "קידה"٠
94nl 2ds 910gp 10sm	אמ׳ אביי
05nl 2ds 910gp 10sm	ואיתימא רב נחמן בר יצחק٠ תרגומה נהרדעא٠ אמ׳ ליה אליהו לרב יהודה אחוה דרב
15nl 2ds 910gp 10sm	סלא חסידא٠ אמריתו٠ אמאי לא קאתי משיחא٠ והידנא ביומא דכפורי
25nl 2ds 910gp 10sm	איבעילא להי כמה בתולתא בנהרדעא٠ אמ׳ ליה٠ וקב׳ה מאי קאמ׳٠
20nl 1ds 020gp 10sm	"שטן" ביומא דכפורי לית ליה רשותא٠
50nl 1ds 020gp 10sm	תלת מאה ושיתין וארבעה יומי אית ליה
60nl 1ds 020gp 10sm	רשותא٠ ביומא דכיפורי לית ליה
70nl 1ds 020gp 10sm	רשותא٠
51nl 1ds 020gp 10sm	^מנא הני מילי٠ אהיכא קימינן٠ אלא אההוא קימינן٠^
10nl 2ds 020gp 10sm	ואי סלקא דעתא "מחצות" דאוריתא٠ היכי
20nl 2ds 020gp 10sm	מקדמינן והיכי מאחרינן٠ אלא אמ׳ ר׳ יוחנן
60nl 2ds 020gp 10sm	הילכך כל יומא "בקרות הגבר"
70nl 2ds 020gp 10sm	סגיא٠ "ביום הכיפורים" משום חולשא "דכהן גדול מחצות٠ ברגלים"
80nl 2ds 020gp 10sm	דנפישי ישראל וקדמי אתין "מאשמורת הראשונה"
90nl 2ds 020gp 10sm	מאי "קרית הגבר"٠ רב
21nl 2ds 020gp 10sm	אמ׳٠ קרא גברא٠ ר׳ שילא אמ׳٠ קרא תרנוגלא٠
31nl 2ds 020gp 10sm	רב איקלע לאתריה דר׳ שילא٠ קם
51nl 2ds 020gp 10sm	עליה באמורא٠ כי מטא הכא פריש٠ קרא
61nl 2ds 020gp 10sm	גברא٠ אמ׳ ליה٠ נימא מר٠ קרא
71nl 2ds 020gp 10sm	תרנוגלא٠ א׳ ליה٠ אבוב לחרי זמר לגירדאי٠ השתא לא
81nl 2ds 020gp 10sm	קבלוה٠ כי הוה קרינא עליה דרבי
91nl 2ds 020gp 10sm	ומפרישנא٠ קרא גברא٠
02nl 2ds 020gp 10sm	לא אמ׳ לי ולא מידי٠ ואת אמרת٠
12nl 2ds 020gp 10sm	קרא תרנוגלא٠ אמ׳ ליה٠ מר ניהו רב٠ נינח מר٠
22nl 2ds 020gp 10sm	אמ׳ ליה٠ ^אי^ אי֗ת֗גרת ל^י^ה פוץ עמר^י^ה٠
42nl 2ds 020gp 10sm	תניא כותיה דרב٠ תניא כותיה דר׳ שילא٠
53nl 2ds 020gp 10sm	ואף על גב דהכא יממא והכא ליליא٠
83nl 2ds 020gp 10sm	והאי חירגא דיומא לאו שמיה٠
10nl 1ds 120gp 10sm	אף רידיא٠ "דנשמה" בעו רבנן רחמי עליה
20nl 1ds 120gp 10sm	ובטלוה٠
32nl 1ds 120gp 10sm	אית תרתי
42nl 1ds 120gp 10sm	אחריניתא "דמקדש"٠
72nl 1ds 120gp 10sm	ותו לא ה{{י}}^ו^ו٠
92nl 1ds 120gp 10sm	פסולי תלתה הוו חשבינהו חד٠ אפיק תרי
03nl 1ds 120gp 10sm	ועייל תרי٠ אי הכי "בלועין" תרי הוו חשבינהו חד٠ בצרי להו٠ איכא
13nl 1ds 120gp 10sm	אחריתי٠
23nl 1ds 120gp 10sm	ותו ליכא٠ והא איכא דר׳ לוי٠
43nl 1ds 120gp 10sm	ניסי דגואי לא קא חשיב٠
53nl 1ds 120gp 10sm	אי הכי "לחם הפנים" ניסי דגואי הוא٠ לא٠ דבראי הוא٠
60nl 2ds 120gp 10sm	ותו ליכא٠
70nl 2ds 120gp 10sm	והאיכא דר׳ אושעיה٠
41nl 2ds 120gp 10sm	ניסא דקביע לא קא חשיב٠ השתא דאתית להכי "ארון וכרובים"
51nl 2ds 120gp 10sm	נמי ניסא דקביע הוא٠
52nl 2ds 120gp 10sm	מהוה הוה٠ סיועי הוא דלא הוה מסייעא٠
73nl 2ds 120gp 10sm	דאזיל ואתי כי דיקלא٠
14nl 2ds 120gp 10sm	וסימנהון "שלחן בצפון ٠٠٠" הא מרבי דידיה והאי מרבי דידיה٠ לא קשיא٠ הא לן והא להו٠
21nl 1ds 220gp 10sm	והא מעיקרא
31nl 1ds 220gp 10sm	מאי טעמא לא תקינו לה פייסא٠
41nl 1ds 220gp 10sm	מעיקרא סבור٠ כיון "דעבודת לילה" הוא לא
51nl 1ds 220gp 10sm	חשיבא להו ולא אתו٠ כיון דחזו דאתו וקאתו נמי "לידי סכנה"
61nl 1ds 220gp 10sm	תקינו לה פייסא٠
71nl 1ds 220gp 10sm	ותקינו לה רבנן
81nl 1ds 220gp 10sm	פיסא "סוף עבודה" דיממא היא٠ אי הכי הא נמי "תחלת עבודה"
91nl 1ds 220gp 10sm	דיממא היא٠
22nl 1ds 220gp 10sm	איכא דאמרי٠
32nl 1ds 220gp 10sm	מעיקרא סבור٠ כיון דאיכא "אונס" לא
42nl 1ds 220gp 10sm	אתו٠ כיון דחזו דאתו וקא אתו נמי "לידי סכנה"٠
52nl 1ds 220gp 10sm	תקינו להו רבנן פיסא
62nl 1ds 220gp 10sm	ותקינו להו רבנן פיסא٠
72nl 1ds 220gp 10sm	שני מיגנא ממיקם٠ ותקנתא להאי גיסא
82nl 1ds 220gp 10sm	הואי٠ והא תקנתא להאי גיסא הואי٠
03nl 1ds 220gp 10sm	תרתי "תקנות"
13nl 1ds 220gp 10sm	הואי٠ מעיקרא סבור דלא אתו٠ כיון דחזו דאתו וקא
23nl 1ds 220gp 10sm	אתו נמי "לידי סכנה"٠ תקינו להו פיסא٠ כיון
33nl 1ds 220gp 10sm	דתקינו להו פיסא לא קאתו٠ אמרי מי יאמר
43nl 1ds 220gp 10sm	דמיתרמי לן٠ כיון דחזו דלא הוו קאתו תקינו כי היכי דניתו٠
73nl 1ds 220gp 10sm	פשיטא לי "ארבע אמות" דארעא לא٠
83nl 1ds 220gp 10sm	קמיתא נמי לא ٠٠٠ והדר
93nl 1ds 220gp 10sm	"כל הקודם את חברו" דביני ביני נמי לא٠ משום דלא מסימא٠ פשיטא לגבי "מזבח" תנן٠
10nl 2ds 220gp 10sm	דבהדי "אמה יסוד" או דבהדי "אמה סובב" או דילמא לבר "מאמה יסוד ואמה סובב"٠ תיקו٠
40nl 2ds 220gp 10sm	ונימנינהו לדידהו٠ מסייע ליה לר׳ יצחק٠
70nl 2ds 220gp 10sm	מתקיף לה רב אשי٠ וממאי דהאי "בזק" מידי
80nl 2ds 220gp 10sm	דמיבזק הוא٠ אימא٠ שמא דמתא הוא٠ אי נמי שמא דגברא הוא٠
42nl 2ds 220gp 10sm	ודילמא "טלאים"
52nl 2ds 220gp 10sm	מדידהו٠ "אם כן" מאי רבותא דמילתא٠
13nl 2ds 220gp 10sm	כמה לא חלי ולא מרגיש גברא דמריה סייעיה ٠٠٠ מאי ניהי
43nl 2ds 220gp 10sm	מאי נינהו ٠٠٠ והאיכא נמי "מעשה דבת שבע"٠ התם איפרעו מיניה ٠٠٠ איהכי "דהסתא" נמי איפרעו מיניה٠ לא איפרעו מגופיה٠ הכא נמי לא איפרעו מגופיה٠ לאיי٠ איפרעו מגופיה٠
24nl 2ds 220gp 10sm	מתקיף לה רב נחמן٠
34nl 2ds 220gp 10sm	חזא רב נחמן ֗ס֗יוטא בחילמיה٠ הדר חזא רב נחמן
44nl 2ds 220gp 10sm	{{ק}}<ס>יוטא בחילמיה
11nl 1ds 320gp 10sm	וצערא דגופא לא٠
51nl 1ds 320gp 10sm	"לעולם" דנקיט בליביה٠ והא אמ׳ רבא
71nl 1ds 320gp 10sm	דכי מפייסי ליה מיפייס٠
92nl 1ds 320gp 10sm	"פקיע"٠ מדרתא٠ מאי מדארתא٠
03nl 1ds 320gp 10sm	מטרקא טייא דפסיק רישיה٠
13nl 1ds 320gp 10sm	מריש הוה אמינא הא דתנן
23nl 1ds 320gp 10sm	"פקע" ٠٠٠ פתילתא٠
43nl 1ds 320gp 10sm	כיון דשמעתה להא "ולא עוד אלא ٠٠٠"
63nl 1ds 320gp 10sm	אמינא נגדא٠
54nl 1ds 320gp 10sm	הי "מעשה" קדים٠ אילימא "שפיכות דמים"٠
64nl 1ds 320gp 10sm	השתא "אשפיכות דמים" לא תקינו פיסא٠ "אנשברה רגלו" מתקני٠ ואלא "דנשברה רגלו" קדים٠ כיון דתקינו להו פיסא "ארבע אמות"
84nl 1ds 320gp 10sm	מאי עיבידתיהו٠ מעיקרא סבור٠ אקראי בעלמא הוא כי האי גונא מילתא דלא שכיחא היא٠ כיון דחזו
94nl 1ds 320gp 10sm	דאפלו ממילא קאתו "לידי סכנה"٠ תקינו להו פיסא٠
15nl 1ds 320gp 10sm	וירושלם בת איתויי "עגלה ערופה" היא٠
60nl 2ds 320gp 10sm	איבעיא
70nl 2ds 320gp 10sm	להו٠ "שפיכות דמים" הוא דזל٠ "אבל טהרת כלים"
80nl 2ds 320gp 10sm	כדקימא קימא٠ או דילמא "טהרת כלים" הוא דחמיר٠
90nl 2ds 320gp 10sm	"ושפיכות דמים" כדקימא קימא٠
01nl 2ds 320gp 10sm	מדקא נסי^ב^ ליה תלמודא ٠٠٠
11nl 2ds 320gp 10sm	שמע מינה "שפיכות דמים"
21nl 2ds 320gp 10sm	הוא דזל٠ "וטהרת כלים" כדקימא קימא٠
92nl 2ds 320gp 10sm	גלי
03nl 2ds 320gp 10sm	רחמנא ٠٠٠
13nl 2ds 320gp 10sm	ומאי שנא הני
43nl 2ds 320gp 10sm	מדאפקיה
53nl 2ds 320gp 10sm	רחמנא "בלשון מדה"٠
63nl 2ds 320gp 10sm	נימא כתנאי٠
40nl 1ds 420gp 10sm	מאי לאו בהא
50nl 1ds 420gp 10sm	קא מיפלגי٠ דמר סבר "עבודה" היא٠ ומר סבר٠
60nl 1ds 420gp 10sm	לאו "עבודה" היא٠ לא٠ דכלי על׳ "עבודה" היא٠
70nl 1ds 420gp 10sm	ומר סבר٠ צריכה קרא
80nl 1ds 420gp 10sm	לרבויה٠ ומר סבר٠ לא צריכה קרא לרבויה٠
01nl 1ds 420gp 10sm	ילפינן לה או "מתרומת מ֗ד֗ין" ילפינן לה٠
61nl 1ds 420gp 10sm	וכן תני לוי במתניתיה٠
70nl 2ds 420gp 10sm	הדר ערביה٠
80nl 2ds 420gp 10sm	"לפנים" מדמינן לה או "לחוץ"
90nl 2ds 420gp 10sm	מדמינן לה٠ הדר פשטה "מבית ואל מבית"٠
42nl 2ds 420gp 10sm	בהא פליגי٠
62nl 2ds 420gp 10sm	תניא כותיה דרב٠ תניא כותיה דלוי٠
63nl 2ds 420gp 10sm	כדאמרן٠
14nl 2ds 420gp 10sm	דאי אמרת "בגדי קודש"٠ איכא "בעלי זרועות"
24nl 2ds 420gp 10sm	דחטפי עבדי ٠٠٠ דאי אמרת "בגדי חול"٠ אגב
34nl 2ds 420gp 10sm	חביבותיה מקרי עביד ٠٠٠ מנא אמינא לה٠
64nl 1ds 520gp 10sm	טובא הוו٠
84nl 1ds 520gp 10sm	"ולעולם" בכל חד וחד אית ביה טובא٠
30nl 2ds 520gp 10sm	שני "מחתה וקטרת"٠ איכא דאמרי٠ דוקא "מחתה וקטרת"
40nl 2ds 520gp 10sm	דחדא "עבודה" היא٠
60nl 2ds 520gp 10sm	"הא שאר עבודות" בעיין "פייס"٠ לא٠ "מחתה" איצטריכא ליה٠ סלקא דעת׳
70nl 2ds 520gp 10sm	אמינא "הואיל" ולא שכיחא ומיעתרא ניתקין
80nl 2ds 520gp 10sm	לה "פייס בפני עצמה"٠ קא משמע לן٠
21nl 2ds 520gp 10sm	איבעיא להו "מי מקבל٠ שוחט מקבל٠" דאי
31nl 2ds 520gp 10sm	אמרת "זורק מקבל"٠ אגב חביבותיה לא מקבל
41nl 2ds 520gp 10sm	ליה לכוליה "דם"٠ או דילמא "זורק מקבל٠" דאי
51nl 2ds 520gp 10sm	אמרת "שוחט מקבל"٠ זימנין דשחיט "זר"٠
81nl 2ds 520gp 10sm	ואי סלק׳ דעתא "שוחט מקבל"٠
91nl 2ds 520gp 10sm	תליסר הוו٠ אלא לאו שמע מינה
02nl 2ds 520gp 10sm	"זורק מקבל"٠
12nl 2ds 520gp 10sm	אף אנן נמי תנינא
53nl 2ds 520gp 10sm	בין תנא
63nl 2ds 520gp 10sm	דידן בין ר׳ יוסי٠ תרויהו בתר עילויא٠
73nl 2ds 520gp 10sm	מר אזיל בתר {{שו}}<א>ברא דבשרא٠ ומר אזיל בתר
83nl 2ds 520gp 10sm	שומנא דבשרא٠ מאי טעמא סלקא "רגל" בהדי "ראש"٠
93nl 2ds 520gp 10sm	משום "דראש" נפישי ביה "עצמות" קרבה "רגל"
04nl 2ds 520gp 10sm	בהדיה٠ דכולי עלמא מיחת "ראש" קרב
14nl 2ds 520gp 10sm	ברישא٠ מנא לן٠
10nl 1ds 620gp 10sm	למאי אתא٠
11nl 1ds 620gp 10sm	אלא הא שכיחא٠ הא לא שכיח׳٠
21nl 1ds 620gp 10sm	לא משכחת צורבא מרבנן דמורי אלא דאתי
31nl 1ds 620gp 10sm	או משיבטא דלוי או משבטא דיששכר٠
71nl 1ds 620gp 10sm	אסוקי שמעתא אליבא דהילכתא
81nl 1ds 620gp 10sm	קאמרינן٠
82nl 1ds 620gp 10sm	ולמאי דסליק
92nl 1ds 620gp 10sm	אדעתין מעיקרא דבעי פיסא٠ "אם כן" נפישא להי "פייסות"٠ מיתיא
03nl 1ds 620gp 10sm	כולהי מצפרא אתו٠ דזכי "בשחרית" זכי٠
43nl 1ds 620gp 10sm	במאי קא מיפלגי٠
53nl 1ds 620gp 10sm	"במקום שכינה" לאו אורח ארעא٠
73nl 1ds 620gp 10sm	בצרי להו "פייסות"٠ ואי משכחת תנא דתני חמשה ٠٠٠
42nl 2ds 620gp 10sm	אימא٠ אידי ואידי "בתמיד של שחר"٠ וקאמ׳
52nl 2ds 620gp 10sm	רחמנא٠ עיבד והדר עיביד٠ "אם כן" נימא קרא "ובער ובער"٠
62nl 2ds 620gp 10sm	אי כתב רחמנא "ובער ובער٠" הוה אמינא٠
72nl 2ds 620gp 10sm	חד אין٠ תרי לא٠ קא משמע לן דניבעי חד וניבעי תרי٠
92nl 2ds 620gp 10sm	שמע מינה כדקאמרינן٠
24nl 2ds 620gp 10sm	"נתינת אש" בעיא "כהונה٠ הפשט וניתוח" לא בעו "כהונה"٠
10nl 1ds 720gp 10sm	והאי מיבעי ליה לגופיה٠
20nl 1ds 720gp 10sm	אשכחתיה לאביי דיתיב וקא מסבר ליה
30nl 1ds 720gp 10sm	לבריה٠
11nl 1ds 720gp 10sm	למה לי٠ למעוטי "הפשט וניתוח"٠ ואכתי אצטריך٠
21nl 1ds 720gp 10sm	סלקא דעת׳ אמינא٠ כיון דלאו "עבודה"
31nl 1ds 720gp 10sm	היא לא תיבעי "כהנה"٠ קא משמע לן
41nl 1ds 720gp 10sm	דבעיא "כהנה"٠
71nl 1ds 720gp 10sm	למעוטי "הפשט וניתוח٠"
81nl 1ds 720gp 10sm	מסתברא זיבחא
91nl 1ds 720gp 10sm	דכותה ממעט٠ אדרבה "סדור" דכותה ממעט٠
62nl 1ds 720gp 10sm	למאי אתא٠
92nl 1ds 720gp 10sm	^האי הוא דבעי "כהנה٠ הולכת עצים" לא^ בעיא "כהנה"٠
13nl 1ds 720gp 10sm	"ונתנו" לגופיה٠
53nl 1ds 720gp 10sm	וניחא ליה٠
30nl 2ds 720gp 10sm	מאי אהני٠
70nl 2ds 720gp 10sm	"סוף עבודה" דיממא הוא٠
11nl 2ds 720gp 10sm	אלא אי איתמר הכי איתמר٠
31nl 2ds 720gp 10sm	אלא "מעתה"
41nl 2ds 720gp 10sm	תיבעי "פייס"٠ אישתמטתיה הא דתניא٠
61nl 2ds 720gp 10sm	למימרא "דעבודת יום"
71nl 2ds 720gp 10sm	בעיא "פייס"٠
81nl 2ds 720gp 10sm	"סוף עבודה" די^ו^מא היא٠
42nl 2ds 720gp 10sm	והא אנן לא תנן הכי
62nl 2ds 720gp 10sm	"סדור שני גזירי עצים" לא קתני٠ הך דלית
72nl 2ds 720gp 10sm	לה תקנתא קתני٠ הך דאית לה תקנתא לא
82nl 2ds 720gp 10sm	קתני٠ איכא דאמרי٠
50nl 1ds 820gp 10sm	ואלא קשיא٠ אלא אי איתמר הכי איתמר٠
70nl 1ds 820gp 10sm	מתקיף לה
80nl 1ds 820gp 10sm	רבא٠ אלא "מעתה" תיבעי "פייס" ולא בעיא "פייס"
91nl 1ds 820gp 10sm	אף אנן נמי תנינא
12nl 1ds 820gp 10sm	הך דלית לה תקנתא קתני٠ הא דאית לה תקנתא לא קתני٠
70nl 2ds 820gp 10sm	אי הכי נגהא לה٠
90nl 2ds 820gp 10sm	צלותיה דאברהם מכי משחרי
01nl 2ds 820gp 10sm	כותלי٠ אמ׳ רב יוסף٠ אנן מאברהם ניקו
11nl 2ds 820gp 10sm	וניגמר٠ אמ׳ רבא٠ תנא גמר מאברהם٠ אנן
21nl 2ds 820gp 10sm	לא גמרינן٠
61nl 2ds 820gp 10sm	רב יוסף הא קשיא ליה٠
91nl 2ds 820gp 10sm	ונישחטיה מכי משחרי כותלי٠ ומאי קושיא٠
02nl 2ds 820gp 10sm	דילמא כתלין "דבית המקדש בשש ומחצה" הוו
12nl 2ds 820gp 10sm	משחרי משום דמכוני٠ אי נמי שני אברהם
63nl 2ds 820gp 10sm	הא הואי נמי "מילה"
83nl 2ds 820gp 10sm	מאן אמ׳ "הן"٠ אילימא הך דקאי אאיגרא٠ הוא חלים והוא פשר٠ ואלא
93nl 2ds 820gp 10sm	האי דקאי אארעא٠ מנא ידע٠ איבעית אימא٠ דקאי אאיגרא٠ ואיבעית אימא٠ אארעא٠ איבעית
04nl 2ds 820gp 10sm	אימא٠ דקאי אאיגרא٠ ואמ׳ ליה האי דקאי אארעא٠ "ועד שבחברון"٠ ואמ׳ ליה٠ "הן"٠
14nl 2ds 820gp 10sm	ואיבעית אימא٠ דקאי אארעא٠ אמ׳ האי דקאי ٠٠٠
24nl 2ds 820gp 10sm	ומי מיחלף٠
34nl 2ds 820gp 10sm	תנא דבי שמואל ٠٠٠
44nl 2ds 820gp 10sm	האי יומא דעיבא כוליה שימשא٠ למאי נפקא
54nl 2ds 820gp 10sm	מינה٠ לשטוחי "עורות"٠ אמ׳ רפרם٠
64nl 2ds 820gp 10sm	זיחא דשמשא קשי משימשא٠ וסימניך٠ דנא דחלא٠ שברירי דשימשא קשו משמש׳٠ וסימניך٠ דילפא٠
10nl 1ds 920gp 10sm	"הרהור עבירה" קשי "מעבירה"٠ וסימניך٠ ריחא
20nl 1ds 920gp 10sm	דבישרא٠ שילהי קיטא קשו מקיטא٠
30nl 1ds 920gp 10sm	וסימניך٠ תנורא שגירא٠ אישתא דסיתוא קשי
40nl 1ds 920gp 10sm	מדקיטא٠ וסימניך٠ תנורא קרירא٠ מגמר
50nl 1ds 920gp 10sm	בעתיקא קשי מבחדתא٠ וסימניך٠ טינא <א>בר
60nl 1ds 920gp 10sm	טינא٠
81nl 1ds 920gp 10sm	מוקים לה כדרבי٠
52nl 1ds 920gp 10sm	לא סגיא דלאו "כהן גדול"
62nl 1ds 920gp 10sm	"מאור לבנה" מי איכא٠
82nl 1ds 920gp 10sm	תני אבוה דר׳ אבון
13nl 1ds 920gp 10sm	בשלמא "עולת עוף" מאי דהוה הוה٠
10nl 2ds 920gp 10sm	נהדר ניקמצה ביממא٠ הוא תני לה
20nl 2ds 920gp 10sm	והוא אמ׳ לה٠ "כלי שרת מקדשין שלא בזמנן"٠
30nl 2ds 920gp 10sm	מותיבי
21nl 2ds 920gp 10sm	אמאי٠
31nl 2ds 920gp 10sm	ניקדיש וניפסיל٠ אמ׳ רבא٠ מאן דקא מותיב
41nl 2ds 920gp 10sm	שפיר קא מותיב٠ אבוה דר׳ אבון נמי מתניתא
