90nl 1ds 200gp 10sm	למאי הילכתא
41nl 1ds 020gp 10sm	"דמצוה לקדש על פי הראייה"٠ ניסן ותשרי נמי
51nl 1ds 020gp 10sm	לאו משום ٠٠٠ אי
61nl 1ds 020gp 10sm	אמרת٠ בשלמא זמנין "מלא" וזמנין "חסר"٠ משום
71nl 1ds 020gp 10sm	הכי מחללינן٠ אלא אי אמרת٠ "לעולם חסר"
81nl 1ds 020gp 10sm	אמאי מחללינן٠ תיובתא٠ כי אתא עולא אמ׳٠
91nl 1ds 020gp 10sm	עברוה לאלול٠ אמ׳ עולא٠ ידעין חברין ב{כ}<ב>לאי מה טיבותא עבדינן בהדייהו٠
02nl 1ds 020gp 10sm	מאי טיבותא٠ עולא אמ׳٠ משום ירקיא٠ רב אחא בר חנינה אמ׳٠ משום מיתיא٠
12nl 1ds 020gp 10sm	מאי ביניהו٠ איכא ביניהו "יום הכפורים שחל להיות אחר השבת"٠ מאן דאמ׳٠ משום
22nl 1ds 020gp 10sm	מיתיא٠ מעברינן٠ ולמאן דאמ׳٠ משום ירקיא٠ לאימת באעי להו٠ לאורתא٠
32nl 1ds 020gp 10sm	לאורתא טרח ומיתי٠ ולמאן דאמ׳٠ משום ירקיא٠ ליעבריה משום מיתיא٠
42nl 1ds 020gp 10sm	מאן דאמ׳٠ משום ירקיא٠
52nl 1ds 020gp 10sm	מעברינן٠ ומאן דאמ׳٠ משום מיתיא٠ א֗{{י}}֗פשר בעממי٠ ולמאן דאמ׳٠ משום מתיא٠
62nl 1ds 020gp 10sm	ליעבריה משום ירקיא٠ איפשר בחמימי٠ אי הכי מאי שנא לדידן٠ אפילו לדידהו
72nl 1ds 020gp 10sm	נמי٠ לדידן חביל לן עלמא٠ לדידהו לא חביל להו עלמא٠
43nl 1ds 020gp 10sm	איני٠ והא שלח ליה ר׳ יהודה נשיאה לר׳ אמי٠
63nl 1ds 020gp 10sm	לא קשיא٠ הא בניסן
73nl 1ds 020gp 10sm	ותשרי הא בשאר ירחי٠
04nl 1ds 020gp 10sm	רב דימי מנהרדעא מתני איפכא٠
10nl 2ds 020gp 10sm	האי מיחזי כשקרא והאי לא מיחזי כשקרא٠ אמ׳
20nl 2ds 020gp 10sm	שמואל٠ יכילנא לתקוני לכולה "גולה"٠
30nl 2ds 020gp 10sm	ידע
40nl 2ds 020gp 10sm	מר הא מילתא דתנינא "בסוד העבור"٠
50nl 2ds 020gp 10sm	אמ׳ ליה٠ לא٠
60nl 2ds 020gp 10sm	מדהא לא ידע מר٠ איכא מילי אחרנייתא
70nl 2ds 020gp 10sm	דלא ידע מר٠ כי סליק רב זורא שלח להו٠
21nl 2ds 020gp 10sm	למאי נפקא
31nl 2ds 020gp 10sm	מינה٠ אמר רב אשי٠ לאכחושי סהדי٠
41nl 2ds 020gp 10sm	עסרין וארבעי שעי מיכסי סיהרא٠
51nl 2ds 020gp 10sm	לדידן שית מעתיקא ותמניסר מחדתא٠
61nl 2ds 020gp 10sm	לדידהו שית מחדתא ותמניסר מעתיקא٠
71nl 2ds 020gp 10sm	למאי נפקא מינה ٠٠٠ לאכחושי
81nl 2ds 020gp 10sm	סהדי٠
32nl 2ds 020gp 10sm	כל ספיקא
42nl 2ds 020gp 10sm	לקמיה שוינן٠ למימרא דחמיסר ושית סר
52nl 2ds 020gp 10sm	עבדינ֗ן֗٠ ארבי סר לא עבדינן٠ וליבי נמי
62nl 2ds 020gp 10sm	ארביסר דלמ׳ חסרוה לאב٠
10nl 1ds 120gp 10sm	תרי ירחי חסי{{ר٠٠٠}}^ר^י קאלא אית לה למילתא٠ לוי איקלע
20nl 1ds 120gp 10sm	לבבל בחדיסר בתשרי٠ אמר להו٠ בסים {ונכ}<תב>שילא
30nl 1ds 120gp 10sm	דבבלאיי ביומא רבא דמערבא٠ אמרו ליה٠
40nl 1ds 120gp 10sm	אסהיד٠ ר׳ איבו בר נ֗גארי ור׳ חייה בר אבא איקלעו לבבל בעשרה במרחשון٠ אמרו להו٠ הידנא יומא רבה במערבא٠ אמרא להו٠ אסהידו٠
50nl 1ds 120gp 10sm	מכריז ר׳ יוחנן٠ כל היכא דמאטו שלוחי ניסן
60nl 1ds 120gp 10sm	ולא מאטו שלוחי תשרי٠ לעבדו תרי יומי٠
70nl 1ds 120gp 10sm	"גזרה" ניסן אטו תשרי٠ ר׳ אבהו בר נגארי ור׳
80nl 1ds 120gp 10sm	חייה בר אבא איקלעי לההוא אתרא
90nl 1ds 120gp 10sm	דמאטו שלוחי ניסן٠ ולא מאט֗ו֗ שלוחי תשרי٠
01nl 1ds 120gp 10sm	עבוד חד יומא ולא אמרו להו ולא מידי٠
11nl 1ds 120gp 10sm	שמע ר׳ יוחנן איקפד٠ אמר להו٠ לא אמינא
21nl 1ds 120gp 10sm	לכו٠ היכא דמאטו שלוחי תשרי
31nl 1ds 120gp 10sm	לעבדו תרי יומי٠ "גזרה" ניסן אטו תשרי٠
41nl 1ds 120gp 10sm	רבה הוה רגיל דהוה יתיב תעניתא תרי
51nl 1ds 120gp 10sm	יומי٠ ז֗מ֗נא חדא אשתכח כואתיה٠ רב נחמן בר יצחק יתי
61nl 1ds 120gp 10sm	תעניתא כוליה יומא٠ לאורתא אתא
71nl 1ds 120gp 10sm	ההוא גברא אמר ליה٠ הידנא יומא רבא במערבא٠
81nl 1ds 120gp 10sm	אמר ליה٠ מי ה<י>כא קא אתית٠ אמא ליה٠ מדמהריא٠ אמר ליה٠ דא תהי٠
91nl 1ds 120gp 10sm	קארי עליה٠ "קלים היו רודפינו"٠ שלח
02nl 1ds 120gp 10sm	ליה ר׳ חונא בר אבון לרבא٠ כי חזית
12nl 1ds 120gp 10sm	{ל}<ד>משכא תקופת טבת עד שית סר בניסן٠
22nl 1ds 120gp 10sm	עברוה לשתא ולא תיחוש ליה٠
52nl 1ds 120gp 10sm	אמר להו רב נחמן להנהו נח<ו>תי ימא٠ לא
62nl 1ds 120gp 10sm	ידעיתון אתון בקבעא דירחא٠ כי משלים סיהרא
72nl 1ds 120gp 10sm	ליומא בערו חמירא٠ אימת משלים٠
82nl 1ds 120gp 10sm	בחמיסר٠ הא אנן מארבסר מבערינן٠
92nl 1ds 120gp 10sm	לדידהו דמגלו להו עלמא מארבס֗ר֗ משלים٠
72nl 2ds 120gp 10sm	מאי משמעא דהאיי "בעליל"٠
82nl 2ds 120gp 10sm	לישנא דמגלי הוא٠
02nl 1ds 220gp 10sm	אמר ליה٠ והא זמנין
12nl 1ds 220gp 10sm	סגיאן אמרתה קמיה דרב֗א֗ ٠٠٠
22nl 1ds 220gp 10sm	ולא אמר לי ולא מידי٠ אמר ליה٠ הכי תאנית٠ אמר ליה٠ איפכה٠
32nl 1ds 220gp 10sm	משום הכי לא אמר לך ולא מידי٠
10nl 2ds 220gp 10sm	ממהימן٠
50nl 2ds 220gp 10sm	חד מימהימן٠
70nl 2ds 220gp 10sm	וחד לא מהימן٠
90nl 2ds 220gp 10sm	אמרי٠ ר׳ נהראי ־<סהדא#20#>
01nl 2ds 220gp 10sm	<אחרינא הוה בהדיה٠ והאי דלא חשיב ליה משום "כבודו דר׳ נהוראי"ּ#20#>
21nl 2ds 220gp 10sm	<רב אשי אמ׳٠ ר׳ נהוראי#20#> סהדא אחרינא הוה באושה٠
31nl 2ds 220gp 10sm	אזל ר׳ נהראי לאצטרופי בהדיה٠ יהכי
41nl 2ds 220gp 10sm	מאי למימרה٠ מהו דתימא٠ מספיקא לא
51nl 2ds 220gp 10sm	מחלינן שבתא٠ קא משמע לן٠ כי אתא עולא אמר٠
61nl 2ds 220gp 10sm	קדשוה לירחא٠ אמ׳ רב כהנא٠ לא
71nl 2ds 220gp 10sm	מיבעיא עולא דגברא רבא٠
81nl 2ds 220gp 10sm	אל֗א֗ אפלו איניש מעלמא מהימן٠ מאי טעמ׳٠
91nl 2ds 220gp 10sm	כל מילתא דעבידא לאגלויי٠ לא משקרי ביה
02nl 2ds 220gp 10sm	אנשי٠
64nl 2ds 220gp 10sm	למימרא דאחסיר
74nl 2ds 220gp 10sm	עבדינן "אמ{׳} לא" לא עבדינן٠ מאי טעמא٠
84nl 2ds 220gp 10sm	די א{{ר}}^מ^רת לעבוד נמי "אמלא" אתי
10nl 1ds 320gp 10sm	למטעא٠ אמרי٠ האיי "חסר" הוה٠ והאוו דלא
20nl 1ds 320gp 10sm	מאיתמל עבדו משום דל֗א֗ אפשר٠ או דלמא "מלא"
30nl 1ds 320gp 10sm	הוא ובזמניה קא עבדו٠ וליבי בין "אמלא" ובין
40nl 1ds 320gp 10sm	"אחסר"٠ וכי מיקלע "ראש חדש חסר בערב שבת" לא ליבי עליה٠
50nl 1ds 320gp 10sm	דכיון דלא עבדינן "למוצאי שבת" ועבדינן
60nl 1ds 320gp 10sm	אמלא٠ אמידע ידעי "דחסר" הוא٠ אפלו הכי אתי
70nl 1ds 320gp 10sm	למטעא٠ אמרי٠ האיי "חסר" הואי והאיי דלא
80nl 1ds 320gp 10sm	עבדו מאיתמל٠ איתנוסי הוא דאיתניס٠ ולעביד "אמלא"
90nl 1ds 320gp 10sm	ולא לעביד "אחסר"٠
31nl 1ds 320gp 10sm	"קתרוס" ٠٠٠ אזדא ٠٠٠
41nl 1ds 320gp 10sm	{{ד}}<ז>מבליגא٠ ואמרי٠ גלמוש٠
91nl 1ds 320gp 10sm	"ארז" ארזא٠ "שטה" ת{{רו}}<ור>ניתא٠ "הדס" גשא٠
02nl 1ds 320gp 10sm	"עץ שמן" אפרסמא٠ "ברוש" ברתא٠ "תדהר" שאגא٠
12nl 1ds 320gp 10sm	"ותאשור" שורבנא٠ הני שבעה٠
32nl 1ds 320gp 10sm	"אלונים" בטמי٠ "אלמונים" בלוטי٠ "אלמוגים"
42nl 1ds 320gp 10sm	כסיתא ٠٠٠ "ארונים"
52nl 1ds 320gp 10sm	ארי٠ "ערמונים" דולבי٠ "אלמוגים" כסיתא٠
72nl 1ds 320gp 10sm	היכי עבדי٠ מתיי שיתה אלפי גברי תרי סר י֗ר֗חי
82nl 1ds 320gp 10sm	שתא٠ ואמרי לה٠ תרי סר אלפי גברי שיתה
92nl 1ds 320gp 10sm	ירחי٠ ו֗ט֗יינו לה חאלא עד דשכנא٠ ונחית
03nl 1ds 320gp 10sm	בר אמו{ר}<ד>יי וקטר אטוני דכיתנא <ב>כסיתא
13nl 1ds 320gp 10sm	וקטר להו בספינתא٠ ונטלי חלא ושדו לבראי٠
23nl 1ds 320gp 10sm	וכמא דמידליא עקרא ומיתיא٠ ומיחלף על חד
33nl 1ds 320gp 10sm	תרין בכספא٠ תלת פרואתא {חי}<הו>וין٠ {חדא} <תרתי> בי רומיאיי
43nl 1ds 320gp 10sm	וחדא בי פרסאיי٠ דבי רומאיי מסקן
53nl 1ds 320gp 10sm	כסיתא٠ דבי פרסאי מסקן מרגליאתא٠ ומיקריא
63nl 1ds 320gp 10sm	פרותא דמשמהוג٠
50nl 2ds 320gp 10sm	ביני ביני הוה קימא٠ איכא דאמרי٠ להך
60nl 2ds 320gp 10sm	גיסא דא֗רע֗א ישראל הוה קימא٠ מר חשיב דהאיי
70nl 2ds 320gp 10sm	גיסא٠
80nl 2ds 320gp 10sm	כמה הוו להו٠
90nl 2ds 320gp 10sm	תלתה ותרי٠ הידנא טובא הוו٠ אמר
01nl 2ds 320gp 10sm	אביי٠ אסת{{ונוס}}<תום> דירכי٠
42nl 2ds 320gp 10sm	ולישנא דמעליותא הוא٠
52nl 2ds 320gp 10sm	ד֗כת֗׳ "ויעזקהו ויסקלהו"٠ או דלמא
62nl 2ds 320gp 10sm	לישנא דצערא הוא٠ דכת׳ "והוא אסור בזיקים"٠
92nl 2ds 320gp 10sm	דלמא תרתי עבדינן בהן٠
64nl 2ds 320gp 10sm	דלא לימרו
10nl 1ds 420gp 10sm	גיר{ו}<י> קא משדייא٠
20nl 1ds 420gp 10sm	תנו חדא
40nl 1ds 420gp 10sm	ותניא איפכה٠
61nl 1ds 420gp 10sm	כל הכי חזו
71nl 1ds 420gp 10sm	ליה ואזלי٠
91nl 1ds 420gp 10sm	אימר כוכיתא
02nl 1ds 420gp 10sm	דעיבא בעלמא הוא דחזו٠
33nl 1ds 420gp 10sm	תרי זימני למה לי٠
24nl 1ds 420gp 10sm	"הואיל וראוהו ב׳ד וכל ישראל"٠
34nl 1ds 420gp 10sm	אפרסמא לה מילתא ולא ליעבריה٠ קמ׳ל٠
11nl 2ds 420gp 10sm	"דמות ארבעה פנים" בהדי הדדי٠
21nl 2ds 420gp 10sm	אלא "מעתה٠ פרצוף אדם" לחודיה לישתרי٠
51nl 2ds 420gp 10sm	מפרקיה דאביי שמיע לי٠
82nl 2ds 420gp 10sm	"ועשיה" גרידתא מי שרי٠
23nl 2ds 420gp 10sm	וקאמ׳ ליה שמואל לרב יהודה٠ שיננא٠ סמי
33nl 2ds 420gp 10sm	עיניה דדין٠ התם כיון "דחותמו בולט" הוה חישינן
43nl 2ds 420gp 10sm	לחשדא٠
63nl 2ds 420gp 10sm	ומי חישינן לחשדא٠ והא ההוא בי כנשתא דשף ויתיב
73nl 2ds 420gp 10sm	בנהרדעא דהוה ביה אנד^רט^א٠ והוו עילי בה אבוה דשמואל
83nl 2ds 420gp 10sm	ולוי וקא מצלו התם ולא חישינן לחשדא٠ "רבים" שאני٠ והא רבן גמליאל "יחיד" הוה٠ כיון
93nl 2ds 420gp 10sm	"דנשיא" הוה٠ שכיחי "רבים" גביה٠ ואיבעית אימא٠ "דפרקים" הוה٠ ואיבעי׳ אימא
04nl 2ds 420gp 10sm	"להתלמד" הוא דעבד٠
52nl 1ds 520gp 10sm	ר׳ ^חייא^ חזייה לסיהרא דקאים
62nl 1ds 520gp 10sm	בצפרא דעשרין ותשעה٠ שקל קלא ושדא ביה٠ אמ׳ ליה٠ לאורתא מקדשינן
72nl 1ds 520gp 10sm	לך ואת קיימת٠ זיל איכסי٠ אמ׳ ליה ר׳ לוי לר׳ חייא٠ זיל לעין טב וקדשיה לירחא
82nl 1ds 520gp 10sm	ושלח לי סימנא٠
82nl 2ds 520gp 10sm	למה לי למיתנא ٠٠٠ איצטריך٠ ס׳ד אמינא٠
92nl 2ds 520gp 10sm	"הואיל וראוהו ב׳ד וכל ישראל" אפרסמא מילתא ולא ליעברוה٠ קמ׳ל٠
23nl 2ds 520gp 10sm	למה לי למתנייה כלל٠ איצטריך٠
33nl 2ds 520gp 10sm	ס׳ד אמינא٠ תהוי "חקירת העדים כתחלת דין" ٠٠٠ וליקדשוה
43nl 2ds 520gp 10sm	בליליא٠ מידי דהוה "אדיני ממונות ٠٠٠"
53nl 2ds 520gp 10sm	הכא נמי ליקדשוה בליליא٠ קמ׳ל٠ אימא הכי נמי٠ אמ׳ קרא "֗כ֗י חוק"
63nl 2ds 520gp 10sm	"לישראל הוא"٠ אימת הוי "חוק"٠
14nl 2ds 520gp 10sm	וכי תימא הכא נמי "שראוהו בלילה"٠ היני הך٠ סופא איצטריכא ליה٠
24nl 2ds 520gp 10sm	ס׳ד אמינא٠ "הואיל" ותנן ٠٠٠
34nl 2ds 520gp 10sm	הכא נמי ליקדשיה "ביחיד"٠ קמ׳ל٠
44nl 2ds 520gp 10sm	ואמ׳ ליה רחמנא٠ עד דאיכא אהרן בהדך٠
60nl 1ds 620gp 10sm	וכיון דחזיה
70nl 1ds 620gp 10sm	דקטל נפשא לא מצו {ד}חזו ליה זכותא٠
31nl 1ds 620gp 10sm	"כל השופרות" איקרו "שופר" ואיקרו "קרן٠ דפרה קרן" איקרי٠ "שופר"
41nl 1ds 620gp 10sm	לא איקרי٠
51nl 1ds 620gp 10sm	"דפרה" נמי איקרי "שופר"٠
52nl 1ds 620gp 10sm	והא איכא "דם הפר٠ הואיל" ואישתני אישתני٠
73nl 1ds 620gp 10sm	והא "דפרה" כיון דקאי גלדי
83nl 1ds 620gp 10sm	גלדי٠ "כשנים ושלשה שופרות" דמיאן٠
24nl 1ds 620gp 10sm	^"שופר אחד" אמ׳ רחמנא٠^ כיון דמחברי אהדדי חד הוא٠ ודקאמרת "מפני שהוא קרן٠ כל השופרות" נמי
34nl 1ds 620gp 10sm	איקרו "קרן"٠ מאי משמע דהאי "יובל" לישנא דדיכרא הוא٠
54nl 1ds 620gp 10sm	"היו קורין" לדיכרא יובילא٠
74nl 1ds 620gp 10sm	למאי נפקא מינה٠ לפרושי "מאה קשיטא" דאוריתא٠ "שהן מאה" דינקי٠
15nl 1ds 620gp 10sm	לוי איקלע לההוא אתרא٠ אתא לקמיה ההוא ג֗ב֗ר׳٠ אמ׳ ליה٠
10nl 2ds 620gp 10sm	"קבען" פלניא٠ לא ידע מאי קאמ׳٠
20nl 2ds 620gp 10sm	אתא ושאיל בי מדרשא٠ אמרי ליה٠ "גזלן" פלניא אמ׳ לך٠
40nl 2ds 620gp 10sm	אי הואי התם הוה
50nl 2ds 620gp 10sm	אמינא ליה٠ במה קבעך ואמאי
60nl 2ds 620gp 10sm	קבעך٠ וממילא הוה ידענא٠ ואיהו סבר٠
70nl 2ds 620gp 10sm	מילתא דאיסורא קאמ׳ ליה٠ לא הוו ידעי
80nl 2ds 620gp 10sm	רבנן מאי "סירוגין"٠ שמעוהא לאמתיה דר׳
90nl 2ds 620gp 10sm	דחזיתנהו לרבנן דקא עיילי פיסקי פיסקי٠
11nl 2ds 620gp 10sm	לא הוו ידעי רבנן מאי "לגלוגות"٠
21nl 2ds 620gp 10sm	שמעוהא לאמתיה דר׳ דחזיתיה לההוא
31nl 2ds 620gp 10sm	גברא דקא מבדר פרפחינה٠
41nl 2ds 620gp 10sm	לא הוו ידעי
51nl 2ds 620gp 10sm	רבנן מאי "סלסלה ותרוממך"٠
61nl 2ds 620gp 10sm	שמעוהא לאמתיה דר׳ דחזיתיה
71nl 2ds 620gp 10sm	לההוא גברא דקא מהפך במזייה٠
91nl 2ds 620gp 10sm	לא הוו ידעי רבנן מאי "וטאטתיה במטאטא"
02nl 2ds 620gp 10sm	"השמד"٠ שמעוהא לאמתיה דר׳
12nl 2ds 620gp 10sm	דקא אמרה לחברתה٠ שקלי טאטתא
22nl 2ds 620gp 10sm	וטאטי ביתא٠ לא הוו ידעי רבנן מאי "השלך על ייי יהבך"٠
42nl 2ds 620gp 10sm	זימנא חדא הוה אזילנא בהדי ההוא
52nl 2ds 620gp 10sm	טייעא٠ והוה קא דרינא כסתא٠ אמ׳ ליה٠ שקול
62nl 2ds 620gp 10sm	יהביך ושדי אגמלא٠
34nl 2ds 620gp 10sm	במאי קא מיפלגי٠
44nl 2ds 620gp 10sm	מר סבר٠ כמה דכאיף
54nl 2ds 620gp 10sm	טפי עדיף ٠٠٠ ומר סבר٠ כמה דפשיט
64nl 2ds 620gp 10sm	טפי עדיף ٠٠٠ הוה אמינא אפילו "ביובל" נמי כותיה סבירא ליה٠ קמ׳ל٠
50nl 1ds 720gp 10sm	ותרי קלי מי משתמע٠
80nl 1ds 720gp 10sm	למימרא דאי שמע איניש "סוף תקיעה בלא"
90nl 1ds 720gp 10sm	"תחלת תקיעה יצא"٠ וממילא "תחלת תקיעה"
01nl 1ds 720gp 10sm	"בלא סוף תקיעה יצא"٠ ומי נפיק٠
21nl 1ds 720gp 10sm	ואמאי٠ תסליק ליה לתרתי٠ פסוקי תקיעתא
31nl 1ds 720gp 10sm	מהדדי לא מפסקינן٠
61nl 1ds 720gp 10sm	ואמאי٠ תיפוק "בתחלת תקיעה" מקמי
71nl 1ds 720gp 10sm	דליערבב קלא٠ אלא ת{ד}<ר>י קלי מחד גברא
81nl 1ds 720gp 10sm	לא משתמע٠ מתרי גברי משתמעי٠ ומתרי
91nl 1ds 720gp 10sm	גברי מי משתמעי٠
12nl 1ds 720gp 10sm	הא לא דמיא אלא
22nl 1ds 720gp 10sm	לסופא٠
32nl 1ds 720gp 10sm	אלמא כיון דחביב עליה יהיב דעתיה ושמע٠ הכא נמי כיון
42nl 1ds 720gp 10sm	דחביב עליה יהיב דעתיה ושמע٠
62nl 1ds 720gp 10sm	מאי שנא התם "דזהב" ומאי שנא התם "דכסף"٠ איבעית אימא٠ כל כנופיא
72nl 1ds 720gp 10sm	דכספא הוא٠
82nl 1ds 720gp 10sm	התם נמי ניעביד "דכסף"٠ אפילו הכי "כבוד יום טוב" עדיף٠
92nl 1ds 720gp 10sm	רב פפא בר שמואל סבר למעבד עובדא כי הא מתניתא٠
73nl 1ds 720gp 10sm	כמאן מצלינן האידנא٠
93nl 1ds 720gp 10sm	דאיתיה "בראש השנה"
04nl 1ds 720gp 10sm	ולא איתיה "ביובל"٠ כי קתני אשארא٠
34nl 1ds 720gp 10sm	דאיתיה "בראש השנה" וליתיה "ביובל"٠ כי קתני אשארא٠
02nl 2ds 720gp 10sm	לא תימא דהפכיה ככיתונא٠ אלא "שהרחיב הקצר וקיצר את הרחב"٠
62nl 2ds 720gp 10sm	ואיכא דמתני לה אסופא٠
13nl 2ds 720gp 10sm	שלחו ליה לאבוה דשמואל٠
23nl 2ds 720gp 10sm	פשיטא٠ כולהו מיקדח קדיחי להו٠
63nl 2ds 720gp 10sm	ואיכא דראמי להו מירמא٠
50nl 1ds 820gp 10sm	מאי שנא התם דבעינא כולה בחיובא
60nl 1ds 820gp 10sm	וליכא٠ הכא נמי בעינא כולה "תקיעה" בחיובא
70nl 1ds 820gp 10sm	וליכא٠ הכי השתא٠ "לילה" ^לאו^ זמן חיובא
80nl 1ds 820gp 10sm	^הוא^ כלל٠ הכא "בור מקום" חיובא הוא٠
21nl 1ds 820gp 10sm	ומי נפיק٠
31nl 1ds 820gp 10sm	ואמאי٠ ת^ס^ליק ליה לתרתי٠
41nl 1ds 820gp 10sm	פסוקי תקיעתא מהדדי לא מפסקינן٠
71nl 1ds 820gp 10sm	ואמאי٠ ניפוק "מתחלת"
81nl 1ds 820gp 10sm	"תקיעה" מיקמי דניערבב קלא٠ כי קאמ׳ רבה٠
91nl 1ds 820gp 10sm	"בתוקע ועולה"٠ יהכי מאי למימרה٠
02nl 1ds 820gp 10sm	מהו דתימא٠ זמנין דמפיק רישיה ואכתי{׳} "שופר"
12nl 1ds 820gp 10sm	"בבור"٠ וקא מיערבב קלא٠ קא משמע לן٠
42nl 1ds 820gp 10sm	מאי טעמא٠ "עולה" דבת "מעילה" היא
52nl 1ds 820gp 10sm	כיון דמעל בה ֗נפ֗<ק>ה לחולי٠ "שלמים"
62nl 1ds 820gp 10sm	לאו בני "מעילה" נינהו٠ ואיסורא הוא דרכיב
72nl 1ds 820gp 10sm	להו ٠٠٠ לאימת
82nl 1ds 820gp 10sm	קא מעיל٠ לבתר דתקע٠ כי ^ק^א תקע באיסורא קא תקע٠
43nl 1ds 820gp 10sm	כתותי מכתת שיעורה٠
24nl 1ds 820gp 10sm	שלחו ליה לאבוה דשמואל٠
71nl 2ds 820gp 10sm	היכי משכחת לה٠ לאו "בתוקע לשד"٠ דלמא דק֗א֗
81nl 2ds 820gp 10sm	מנבח נבוחי٠
52nl 2ds 820gp 10sm	והא הכא כיון דבריך ליך
62nl 2ds 820gp 10sm	"עברה זמנו" וקתני דעב{ד}<ר>٠ הכא במאי עסיקינן٠
82nl 2ds 820gp 10sm	שאני הכא
92nl 2ds 820gp 10sm	דכיון דאלו מתרמי ליה ציבורא אוחרינא הדר
03nl 2ds 820gp 10sm	מבריך כולי יומא זמניה היא٠ מנא תימרה٠
83nl 2ds 820gp 10sm	והא הכא٠ כיון דיהיב ליה "מתנה אחת מבכור"٠ עברא ליה זמניה٠ וקתני דעבר٠
93nl 2ds 820gp 10sm	לאו משום דאמרינן٠ כיון דאלו מתרמי ליה "בכור" אוחרינא
04nl 2ds 820gp 10sm	הדר מדי מניה כוליה יומא זמניה היא٠
14nl 2ds 820gp 10sm	אנן הכי קאמרינן٠ רב שימי בר אביי מאי טעמ׳ שביק
24nl 2ds 820gp 10sm	מתניתין ומותיב בריתא٠ מתניתין מאי טעמא לא מותיב٠ כיון דאלו
34nl 2ds 820gp 10sm	מתרמי ליה "בכור" אחרינא٠ הדר מדי מניה כולי יומא זמניה היא٠ בריתא
44nl 2ds 820gp 10sm	נמ֗י֗ כיון דאלו מתרמי ליה ציבורא אחרינא٠ הדר מבריך כולי יומא זמניה היא٠
84nl 2ds 820gp 10sm	אמר ליה ר׳ זירא לשמעיה٠
10nl 1ds 920gp 10sm	איכוין ותקע לי٠ אלמא קסבר٠
60nl 1ds 920gp 10sm	האייך לא קא מיכוין אדעתא דעתיה٠
70nl 1ds 920gp 10sm	"בשליח ציבור" עסיקי דדעתיה אכולי עלמא٠
93nl 1ds 920gp 10sm	פשיטא٠ או "כהנים לויים וישר׳" לא מיחייבי מאן כן
04nl 1ds 920gp 10sm	מיחייב٠ "כהנים" אצטריכא ליה٠ סל׳ דעתא אמינא٠
14nl 1ds 920gp 10sm	"הואיל יום תרועה יהיה לכם"٠ מאן
24nl 1ds 920gp 10sm	דליתיה אלא "בתקיעה" דחד יומא٠
34nl 1ds 920gp 10sm	וה{כ}<נ>י "כהנים הואיל" ואיתנהו "בתקיעה"٠
54nl 1ds 920gp 10sm	אימא לא ליחייבן٠
84nl 1ds 920gp 10sm	מאי דאיתייה
94nl 1ds 920gp 10sm	"במצוה דיובל"٠ איתייה "במצוה דראש השנה"٠
05nl 1ds 920gp 10sm	והני "כהנים הואיל" וליתנהי "במצוה דיובל" ٠٠٠
25nl 1ds 920gp 10sm	אימא "דראש השנה" נמי לא
35nl 1ds 920gp 10sm	לחייב{ן}<ו>٠
55nl 1ds 920gp 10sm	מאי שנא "לאחרים"٠ דלא אתו "צד עבדות" מפיק "צד חירות٠ לעצמו" נמי לא
65nl 1ds 920gp 10sm	אתי "צד עבדות" דידיה מפיק "צד חירות" דידיה٠
20nl 2ds 920gp 10sm	כיון דחובתיהו מפיק
40nl 2ds 920gp 10sm	כל כי הוינן בירב פפי הוה
50nl 2ds 920gp 10sm	מקדיש٠ ֗ו֗כי הוה אתו ארישיה מידברא
60nl 2ds 920gp 10sm	ה^ד^ר מקדיש להו٠
12nl 2ds 920gp 10sm	מנא הני מילי٠
62nl 2ds 920gp 10sm	ואו דאוריתא היא
72nl 2ds 920gp 10sm	"במקדש" היכי תקעינן٠ ועוד "מלאכה" היא٠
23nl 2ds 920gp 10sm	היא מדאוריתא משרא שרי٠ ורבנן הוא דגזרו ביה٠
34nl 2ds 920gp 10sm	איכא ביניהו "בית דין"
44nl 2ds 920gp 10sm	דאקראי٠
40nl 1ds 030gp 10sm	"זאת" מיבי ליה٠
70nl 1ds 030gp 10sm	והא כי אתא רב יצחק בר יוסף אמ׳٠ כי מסיק
80nl 1ds 030gp 10sm	שליחא דציבורא תקיעתא ביבנה٠ לא שמע
90nl 1ds 030gp 10sm	אנ{ו}<י>ש קל א{ז}<ו>ניה מקל תקיעתא٠
21nl 1ds 030gp 10sm	הא "בזמן בית דין" מיהא תקעינן٠
51nl 1ds 030gp 10sm	ואיכא דמותי לה להא דרב חונא אק^ר^א٠
02nl 1ds 030gp 10sm	"אשה" מי מיחייבא٠
72nl 1ds 030gp 10sm	והכא כי אתא רב יצחק בר יוסף אמר٠ כי מסיק שליחא דציבורא
82nl 1ds 030gp 10sm	תקיעתא ביבנה٠ לא שמע {{קל}} אנש קל א{ד}<ו>ניה מקל תקיעתא٠
53nl 1ds 030gp 10sm	"בית דין יושבין" בנן והאיכא٠ או דלמא "זמן בית דין" בנן והא ליכא٠ תיקו٠
83nl 1ds 030gp 10sm	דמפסק לה מברא٠
44nl 1ds 030gp 10sm	השתה נמי ניכול٠ ולא ידעי דאישתקד דלא "עומד"٠
54nl 1ds 030gp 10sm	דאיבני
64nl 1ds 030gp 10sm	אימת٠ או לימא דאיבני בשית סר ٠٠٠ ואי לא דאיבני בחמי סר٠
